303,v,iffy,emoji,black,annotation,shortname,hexcode,group,subgroups,tags,openmoji_tags,openmoji_author,openmoji_date,skintone,skintone_combination,skintone_base_emoji,skintone_base_hexcode,unicode,order
,1,,💀,,skull,skull,1F480,smileys-emotion,face-negative,"death, face, fairy tale, monster",skull,Mariella Steeb,2018-04-18,,,,,0.6,101
,1,,💩,,pile of poo,poo,1F4A9,smileys-emotion,face-costume,"dung, face, monster, poo, poop",,Mariella Steeb,2018-04-18,,,,,0.6,104
,1,,🤡,,clown face,clown,1F921,smileys-emotion,face-costume,"clown, face",,Emily Jäger,2018-04-18,,,,,3,105
,1,,👻,,ghost,ghost,1F47B,smileys-emotion,face-costume,"creature, face, fairy tale, fantasy, monster",ghost,Mariella Steeb,2018-04-18,,,,,0.6,108
,1,,👽️,,alien,alien,1F47D,smileys-emotion,face-costume,"creature, extraterrestrial, face, fantasy, ufo",alien,Mariella Steeb,2018-04-18,,,,,0.6,109
,1,,🤖,,robot,robot,1F916,smileys-emotion,face-costume,"face, monster",,Mariella Steeb,2018-04-18,,,,,1,111
,1,,💣️,,bomb,bomb,1F4A3,smileys-emotion,emotion,comic,explosion,Laura Humpfer,2018-04-18,,,,,0.6,159
,1,,👊,,oncoming fist,fist,1F44A,people-body,hand-fingers-closed,"clenched, fist, hand, punch","clenched, fist, hand, punch, fist, oncoming fist, Brofist, Bro, Bump,",Julian Grüneberg,2018-04-18,,single,👊,1F44A,0.6,306
,1,,💪,,flexed biceps,muscle,1F4AA,people-body,body-parts,"biceps, comic, flex, muscle","Flexed Biceps, Biceps, Flexed, flex, muscle, Feats of Strength, strength, feats, Strong, lisa schulz, julian grüneberg",Julian Grüneberg,2018-04-18,,single,💪,1F4AA,0.6,374
,1,,🦶,,foot,foot,1F9B6,people-body,body-parts,"kick, stomp",,Daniel Utz,2020-03-11,,single,🦶,1F9B6,11,388
,1,,👂️,,ear,ear,1F442,people-body,body-parts,body,"ear, hear, listen",Julian Grüneberg,2018-04-18,,single,👂️,1F442,0.6,394
,1,,👃,,nose,nose,1F443,people-body,body-parts,body,"nose, smell",Julian Grüneberg,2018-04-18,,single,👃,1F443,0.6,406
,1,,🧠,,brain,brain,1F9E0,people-body,body-parts,intelligent,"brain, intelligent, clever",Julian Grüneberg,2018-04-18,,,,,5,412
,1,,🦷,,tooth,tooth,1F9B7,people-body,body-parts,dentist,,Laura Schießer,2019-05-06,,,,,11,415
,1,,🦴,,bone,bone,1F9B4,people-body,body-parts,skeleton,,Laura Schießer,2019-05-06,,,,,11,416
,1,,👀,,eyes,eyes,1F440,people-body,body-parts,"eye, face","eye, face, eyes",Julian Grüneberg,2018-04-18,,,,,0.6,417
,1,,👅,,tongue,tongue,1F445,people-body,body-parts,body,"tongue, kiss, lick, licking",Julian Grüneberg,2018-04-18,,,,,0.6,420
